variable,tipo,psi,estadistico_prueba,p_value,distancia_js,severidad
salario_cliente,numerica,0.034182978013391346,0.052464243771891635,0.0001464653655317256,0.07832798876211815,sin_drift
puntaje_datacredito,numerica,0.008626005024915347,0.02477778622919266,0.2363385179306944,0.03942753673678701,sin_drift
total_otros_prestamos,numerica,0.008354837533814984,0.03921675883204324,0.009704729762610952,0.03879693001241942,sin_drift
ratio_cuota_salario,numerica,0.007969560761277066,0.016139864802536288,0.752985506124217,0.037890161872559114,sin_drift
huella_consulta,numerica,0.007299186140072892,0.03413830362840819,0.035125906050596956,0.036268956126243285,sin_drift
promedio_ingresos_datacredito,numerica,0.006555421305072938,0.0275555325389363,0.14308959604337634,0.034372126675601654,sin_drift
capital_prestado,numerica,0.004885354497060337,0.019489699972973454,0.5218013772343768,0.029675397658767363,sin_drift
creditos_sectorFinanciero,numerica,0.004430290912941575,0.027839446133828334,0.13538844320187518,0.02826219065601206,sin_drift
cuota_pactada,numerica,0.004091255954031895,0.019570024377836507,0.5167949067183876,0.027158466771087537,sin_drift
total_creditos_sector,numerica,0.003924082175576964,0.02716750470537019,0.1538870085618854,0.02659792145613163,sin_drift
edad_cliente,numerica,0.0026017977296818717,0.017652542194587895,0.6485023406970889,0.02165680044694304,sin_drift
plazo_meses,numerica,0.002541506173100044,0.024507844441459477,0.2473098461206789,0.021406986464494328,sin_drift
creditos_sectorReal,numerica,0.002257915770754283,0.013281794087929599,0.916804052894065,0.020173617730145955,sin_drift
tendencia_ingresos,categorica,0.0014446543949551626,2.4652853495487763,0.48159747790092966,0.01613985797588926,sin_drift
puntaje,numerica,0.0012785625712878976,0.013496549934645389,0.9073180361400678,0.015181201343332092,sin_drift
creditos_sectorCooperativo,numerica,0.0010242357527186178,0.006516580327371849,0.9999992440049862,0.013586156540704556,sin_drift
tipo_laboral,categorica,0.0006978246576759084,1.1427980695924136,0.285061856813934,0.011217788440780413,sin_drift
categoria_riesgo_score,categorica,0.00039136265061583185,0.6121914909008509,0.9616993479328105,0.008380104567440847,sin_drift
tipo_credito,numerica,0.00020318799718442262,0.014579931414070959,0.8509431203591281,0.00605107357902344,sin_drift
trimestre_prestamo,numerica,0.00010636310838126201,0.006364886421075743,0.9999996383663486,0.004379617238153644,sin_drift
edad_atipica,numerica,0.0,0.0005838489145955755,1.0,0.0,sin_drift
sin_promedio_ingresos,numerica,0.0,0.015739753243859823,0.779506523938711,0.0,sin_drift
