modelo,variable,importancia
xgboost,numerico__puntaje,0.8648348
xgboost,categorico__categoria_riesgo_score_alto_riesgo,0.026782958
xgboost,categorico__categoria_riesgo_score_riesgo_bajo,0.0067413873
xgboost,numerico__plazo_meses,0.0063317292
xgboost,numerico__sin_promedio_ingresos,0.0058382493
xgboost,numerico__total_otros_prestamos,0.0051950705
xgboost,categorico__tipo_laboral_Independiente,0.0050861053
xgboost,numerico__trimestre_prestamo,0.005079182
xgboost,numerico__huella_consulta,0.0046041766
xgboost,numerico__creditos_sectorCooperativo,0.0041874344
xgboost,numerico__puntaje_datacredito,0.0041687945
xgboost,numerico__total_creditos_sector,0.0039783553
xgboost,numerico__promedio_ingresos_datacredito,0.003964607
xgboost,numerico__creditos_sectorFinanciero,0.003957139
xgboost,categorico__categoria_riesgo_score_sin_clasificar,0.003918545
xgboost,numerico__edad_cliente,0.0037246353
xgboost,numerico__salario_cliente,0.0036940374
xgboost,numerico__cuota_pactada,0.0036920141
xgboost,numerico__ratio_cuota_salario,0.0035837179
xgboost,numerico__capital_prestado,0.003394748
xgboost,categorico__tipo_laboral_Empleado,0.0033599122
xgboost,categorico__tendencia_ingresos_Creciente,0.0033185228
xgboost,categorico__tendencia_ingresos_Decreciente,0.0032323564
xgboost,categorico__tipo_credito_9,0.0031827441
xgboost,categorico__tipo_credito_4,0.003155068
xgboost,numerico__creditos_sectorReal,0.0027872215
xgboost,categorico__categoria_riesgo_score_riesgo_medio,0.0022361777
xgboost,categorico__tendencia_ingresos_Estable,0.0021774052
xgboost,categorico__categoria_riesgo_score_riesgo_muy_bajo,0.0019424664
xgboost,categorico__tendencia_ingresos_Sin_dato,0.0018504134
xgboost,numerico__edad_atipica,0.0
xgboost,categorico__tipo_credito_68,0.0
xgboost,categorico__tipo_credito_6,0.0
xgboost,categorico__tipo_credito_7,0.0
xgboost,categorico__tipo_credito_10,0.0
