tipo_credito,capital_prestado,plazo_meses,edad_cliente,tipo_laboral,salario_cliente,total_otros_prestamos,cuota_pactada,puntaje,puntaje_datacredito,cant_creditosvigentes,huella_consulta,creditos_sectorFinanciero,creditos_sectorCooperativo,creditos_sectorReal,promedio_ingresos_datacredito,tendencia_ingresos,edad_atipica,sin_promedio_ingresos,ratio_cuota_salario,mes_prestamo,trimestre_prestamo,total_creditos_sector,categoria_riesgo_score,prediccion_proba,Pago_atiempo
9,13.787781023591606,10,39,Empleado,15.068273812173887,14.508658238524095,82712,91.99794,814.0,3,9,3,0,0,14.852050615034322,Creciente,0,0,0.023632,5,2,3,riesgo_bajo,0.9672441,1
4,14.341649334635852,6,63,Empleado,15.123843647884687,13.815511557963774,251609,95.227787,901.0,5,2,2,0,1,15.30958924493936,Decreciente,0,0,0.06800243243243244,5,2,3,riesgo_muy_bajo,0.9676297,1
4,13.641158361294979,6,60,Empleado,14.914123179965662,14.508658238524095,124876,95.227787,789.0,3,1,0,0,2,13.752589927335745,Creciente,0,0,0.041625333333333334,4,2,2,riesgo_bajo,0.9683735,1
4,14.48334044336031,12,55,Independiente,15.150511887854474,14.403297778421795,155553,95.227787,834.0,4,3,2,0,0,13.755537598769623,Creciente,0,0,0.040935,5,2,2,riesgo_bajo,0.9682938,1
9,14.098860309451144,10,36,Empleado,15.039286283703994,14.220976332738882,113012,95.227787,796.0,5,2,5,0,0,14.296171570023217,Decreciente,0,0,0.033238823529411765,5,2,5,riesgo_bajo,0.968884,1
9,15.601275663505902,10,36,Independiente,14.914123179965662,14.285514812209815,509041,95.227787,775.0,4,6,2,0,1,13.776651219507292,Creciente,0,0,0.16968033333333332,8,3,3,riesgo_bajo,0.9665322,1
4,14.074701330690898,12,40,Empleado,14.220976332738882,12.611541086966115,101676,95.227787,737.0,5,5,2,0,3,14.000606595657421,Estable,0,0,0.067784,12,4,5,riesgo_bajo,0.96422344,1
4,15.096444681204078,36,42,Independiente,15.424948670398354,14.508658238524095,116400,95.227787,703.0,13,9,8,0,1,13.719579885694309,Estable,0,0,0.02328,12,4,9,riesgo_bajo,0.9546378,1
4,14.433756482573322,6,41,Independiente,15.201805169084134,0.0,275868,95.227787,834.0,5,1,3,1,0,13.755537598769623,Creciente,0,0,0.068967,4,2,4,riesgo_bajo,0.9650679,1
4,13.304686600863562,6,64,Independiente,13.815511557963774,12.429220196836383,89116,95.227787,777.0,2,2,1,0,1,14.001572610373936,Sin_dato,0,1,0.089116,2,1,2,riesgo_bajo,0.9637583,1
4,14.39176486905233,12,55,Independiente,13.815511557963774,11.51293546492023,139330,95.227787,841.0,3,1,1,0,2,13.719579885694309,Estable,0,0,0.13933,11,4,3,riesgo_bajo,0.96729094,1
9,14.55326306321683,10,46,Independiente,14.845130332288226,14.403297778421795,178021,95.227787,840.0,8,2,5,0,0,13.760675208425667,Creciente,0,0,0.06357892857142858,6,2,5,riesgo_bajo,0.96863514,1
4,14.219375052440284,12,36,Empleado,14.220976332738882,13.45883704259595,117804,95.227787,727.0,6,6,1,0,1,13.67701945772706,Creciente,0,0,0.078536,3,1,2,riesgo_bajo,0.9614659,1
9,13.948832853729572,10,37,Independiente,15.201805169084134,14.508658238524095,97064,58.597591,726.0,8,4,2,0,3,14.357835430184815,Decreciente,0,0,0.024266,4,2,5,riesgo_bajo,0.741104,0
9,15.809779567306517,6,41,Empleado,15.424948670398354,14.508658238524095,1004202,95.227787,784.0,12,4,10,0,0,13.764328836299624,Creciente,0,0,0.2008404,6,2,10,riesgo_bajo,0.96261793,1
4,14.930273257141165,6,42,Empleado,14.375126917328105,13.60725685067015,462836,95.227787,789.0,3,3,1,0,1,14.88276701737121,Decreciente,0,0,0.26447771428571426,9,3,2,riesgo_bajo,0.96593595,1
9,13.483976627811229,9,35,Empleado,14.603968372873895,14.077875591662238,67424,95.227787,897.0,6,5,4,0,1,14.001572610373936,Sin_dato,0,1,0.030647272727272728,7,3,5,riesgo_muy_bajo,0.9634022,1
